time[d],date,hour,sub116 [mg/l],sub178 [mg/l]
0,1981-01-01,00:00:00.00,0,0
1,1981-01-02,00:00:00.00,0,0
2,1981-01-03,00:00:00.00,0,0
3,1981-01-04,00:00:00.00,0,0
4,1981-01-05,00:00:00.00,0,0
5,1981-01-06,00:00:00.00,0,0
6,1981-01-07,00:00:00.00,0,0
7,1981-01-08,00:00:00.00,0,0
8,1981-01-09,00:00:00.00,0,0
9,1981-01-10,00:00:00.00,0,0
10,1981-01-11,00:00:00.00,0,0
11,1981-01-12,00:00:00.00,0,0
12,1981-01-13,00:00:00.00,0,0
13,1981-01-14,00:00:00.00,0,0
14,1981-01-15,00:00:00.00,0,0
15,1981-01-16,00:00:00.00,0,0
16,1981-01-17,00:00:00.00,0,0
17,1981-01-18,00:00:00.00,0,0
18,1981-01-19,00:00:00.00,0,0
19,1981-01-20,00:00:00.00,0,0
20,1981-01-21,00:00:00.00,0,0
21,1981-01-22,00:00:00.00,0,0
22,1981-01-23,00:00:00.00,0,0
23,1981-01-24,00:00:00.00,0,0
24,1981-01-25,00:00:00.00,0,0
25,1981-01-26,00:00:00.00,0,0
26,1981-01-27,00:00:00.00,0,0
27,1981-01-28,00:00:00.00,0,0
28,1981-01-29,00:00:00.00,0,0
29,1981-01-30,00:00:00.00,0,0
30,1981-01-31,00:00:00.00,0,0
31,1981-02-01,00:00:00.00,0,0
32,1981-02-02,00:00:00.00,0,0
33,1981-02-03,00:00:00.00,0,0
34,1981-02-04,00:00:00.00,0,0
35,1981-02-05,00:00:00.00,0,0
36,1981-02-06,00:00:00.00,0,0
37,1981-02-07,00:00:00.00,0,0
38,1981-02-08,00:00:00.00,0,0
39,1981-02-09,00:00:00.00,0,0
40,1981-02-10,00:00:00.00,0,0
41,1981-02-11,00:00:00.00,0,0
42,1981-02-12,00:00:00.00,0,0
43,1981-02-13,00:00:00.00,0,0
44,1981-02-14,00:00:00.00,0,0
45,1981-02-15,00:00:00.00,0,0
46,1981-02-16,00:00:00.00,0,0
47,1981-02-17,00:00:00.00,0,0
48,1981-02-18,00:00:00.00,1,1
49,1981-02-19,00:00:00.00,1,1
50,1981-02-20,00:00:00.00,1,1
51,1981-02-21,00:00:00.00,1,1
52,1981-02-22,00:00:00.00,1,1
53,1981-02-23,00:00:00.00,1,1
54,1981-02-24,00:00:00.00,1,1
55,1981-02-25,00:00:00.00,1,1
56,1981-02-26,00:00:00.00,1,1
57,1981-02-27,00:00:00.00,0,0
58,1981-02-28,00:00:00.00,0,0
59,1981-03-01,00:00:00.00,0,0
60,1981-03-02,00:00:00.00,0,0
61,1981-03-03,00:00:00.00,0,0
62,1981-03-04,00:00:00.00,0,0
63,1981-03-05,00:00:00.00,0,0
64,1981-03-06,00:00:00.00,0,0
65,1981-03-07,00:00:00.00,0,0
66,1981-03-08,00:00:00.00,0,0
67,1981-03-09,00:00:00.00,0,0
68,1981-03-10,00:00:00.00,0,0
69,1981-03-11,00:00:00.00,0,0
70,1981-03-12,00:00:00.00,0,0
71,1981-03-13,00:00:00.00,0,0
72,1981-03-14,00:00:00.00,0,0
73,1981-03-15,00:00:00.00,1,1
74,1981-03-16,00:00:00.00,1,1
75,1981-03-17,00:00:00.00,0,0
76,1981-03-18,00:00:00.00,0,0
77,1981-03-19,00:00:00.00,0,0
78,1981-03-20,00:00:00.00,0,0
79,1981-03-21,00:00:00.00,0,0
80,1981-03-22,00:00:00.00,1,1
81,1981-03-23,00:00:00.00,1,1
82,1981-03-24,00:00:00.00,1,1
83,1981-03-25,00:00:00.00,1,1
84,1981-03-26,00:00:00.00,1,1
85,1981-03-27,00:00:00.00,1,1
86,1981-03-28,00:00:00.00,1,1
87,1981-03-29,00:00:00.00,1,1
88,1981-03-30,00:00:00.00,0.965021,0.920552
89,1981-03-31,00:00:00.00,0.851217,0.707258
90,1981-04-01,00:00:00.00,0.587059,0.376754
91,1981-04-02,00:00:00.00,0.71052,0.509683
92,1981-04-03,00:00:00.00,0.659739,0.453933
93,1981-04-04,00:00:00.00,0.804357,0.639427
94,1981-04-05,00:00:00.00,0.720207,0.547308
95,1981-04-06,00:00:00.00,5.60897e-16,6.28964e-16
96,1981-04-07,00:00:00.00,0.110043,0.0623466
97,1981-04-08,00:00:00.00,0,0
98,1981-04-09,00:00:00.00,1.4911e-15,1.73238e-15
99,1981-04-10,00:00:00.00,0.683855,0.534155
100,1981-04-11,00:00:00.00,0.666074,0.512922
101,1981-04-12,00:00:00.00,0,0
102,1981-04-13,00:00:00.00,0,0
103,1981-04-14,00:00:00.00,0.849184,0.764642
104,1981-04-15,00:00:00.00,0.737564,0.626366
105,1981-04-16,00:00:00.00,0,0
106,1981-04-17,00:00:00.00,0,0
107,1981-04-18,00:00:00.00,0,0
108,1981-04-19,00:00:00.00,0,0
109,1981-04-20,00:00:00.00,0,0
110,1981-04-21,00:00:00.00,0,0
111,1981-04-22,00:00:00.00,0,0
112,1981-04-23,00:00:00.00,0,0
113,1981-04-24,00:00:00.00,0.884952,0.829827
114,1981-04-25,00:00:00.00,0.738426,0.638539
115,1981-04-26,00:00:00.00,0,0
116,1981-04-27,00:00:00.00,0,0
117,1981-04-28,00:00:00.00,0,0
118,1981-04-29,00:00:00.00,0,0
119,1981-04-30,00:00:00.00,0,0
120,1981-05-01,00:00:00.00,0,0
121,1981-05-02,00:00:00.00,0,0
122,1981-05-03,00:00:00.00,0,0
123,1981-05-04,00:00:00.00,0.917881,0.876751
124,1981-05-05,00:00:00.00,0.726705,0.629838
125,1981-05-06,00:00:00.00,0.459291,0.356112
126,1981-05-07,00:00:00.00,0,0
127,1981-05-08,00:00:00.00,0,0
128,1981-05-09,00:00:00.00,0,0
129,1981-05-10,00:00:00.00,0,0
130,1981-05-11,00:00:00.00,0,0
131,1981-05-12,00:00:00.00,0,0
132,1981-05-13,00:00:00.00,0,0
133,1981-05-14,00:00:00.00,0,0
134,1981-05-15,00:00:00.00,0,0
135,1981-05-16,00:00:00.00,0,0
136,1981-05-17,00:00:00.00,0,0
137,1981-05-18,00:00:00.00,0,0
138,1981-05-19,00:00:00.00,0,0
139,1981-05-20,00:00:00.00,0,0
140,1981-05-21,00:00:00.00,0,0
141,1981-05-22,00:00:00.00,0,0
142,1981-05-23,00:00:00.00,0,0
143,1981-05-24,00:00:00.00,0,0
144,1981-05-25,00:00:00.00,0,0
145,1981-05-26,00:00:00.00,0,0
146,1981-05-27,00:00:00.00,0,0
147,1981-05-28,00:00:00.00,0,0
148,1981-05-29,00:00:00.00,0,0
149,1981-05-30,00:00:00.00,0,0
150,1981-05-31,00:00:00.00,0,0
151,1981-06-01,00:00:00.00,0,0
152,1981-06-02,00:00:00.00,1.80646e-13,1.82915e-13
153,1981-06-03,00:00:00.00,0.90357,0.856299
154,1981-06-04,00:00:00.00,0.593671,0.482422
155,1981-06-05,00:00:00.00,0.338198,0.251447
156,1981-06-06,00:00:00.00,0,0
157,1981-06-07,00:00:00.00,0,0
158,1981-06-08,00:00:00.00,0.182458,0.138777
159,1981-06-09,00:00:00.00,0.29408,0.220428
160,1981-06-10,00:00:00.00,0.241124,0.17773
161,1981-06-11,00:00:00.00,0.0401937,0.0329845
162,1981-06-12,00:00:00.00,0.434258,0.343092
163,1981-06-13,00:00:00.00,0.304376,0.228622
164,1981-06-14,00:00:00.00,0,0
165,1981-06-15,00:00:00.00,0.61488,0.516769
166,1981-06-16,00:00:00.00,0.398207,0.307749
167,1981-06-17,00:00:00.00,0.193448,0.143236
168,1981-06-18,00:00:00.00,0,0
169,1981-06-19,00:00:00.00,0.0325454,0.0233168
170,1981-06-20,00:00:00.00,0.0774796,0.0569992
171,1981-06-21,00:00:00.00,0,0
172,1981-06-22,00:00:00.00,0,0
173,1981-06-23,00:00:00.00,0,0
174,1981-06-24,00:00:00.00,0,0
175,1981-06-25,00:00:00.00,0.634439,0.549717
176,1981-06-26,00:00:00.00,0.547131,0.454289
177,1981-06-27,00:00:00.00,0,0
178,1981-06-28,00:00:00.00,0,0
179,1981-06-29,00:00:00.00,0.57653,0.485467
180,1981-06-30,00:00:00.00,0.50644,0.410247
181,1981-07-01,00:00:00.00,1.48178e-16,0
182,1981-07-02,00:00:00.00,0,0
183,1981-07-03,00:00:00.00,0,0
184,1981-07-04,00:00:00.00,0,0
185,1981-07-05,00:00:00.00,0,0
186,1981-07-06,00:00:00.00,0,0
187,1981-07-07,00:00:00.00,0,0
188,1981-07-08,00:00:00.00,0,0
189,1981-07-09,00:00:00.00,0,0
190,1981-07-10,00:00:00.00,0,0
191,1981-07-11,00:00:00.00,0,0
192,1981-07-12,00:00:00.00,0,0
193,1981-07-13,00:00:00.00,0,0
194,1981-07-14,00:00:00.00,0,0
195,1981-07-15,00:00:00.00,0,0
196,1981-07-16,00:00:00.00,0,0
197,1981-07-17,00:00:00.00,0,0
198,1981-07-18,00:00:00.00,0,0
199,1981-07-19,00:00:00.00,0,0
200,1981-07-20,00:00:00.00,0,0
201,1981-07-21,00:00:00.00,0,0
202,1981-07-22,00:00:00.00,0,0
203,1981-07-23,00:00:00.00,0,0
204,1981-07-24,00:00:00.00,0,0
205,1981-07-25,00:00:00.00,0,0
206,1981-07-26,00:00:00.00,0,0
207,1981-07-27,00:00:00.00,0,0
208,1981-07-28,00:00:00.00,0,0
209,1981-07-29,00:00:00.00,0,0
210,1981-07-30,00:00:00.00,0,0
211,1981-07-31,00:00:00.00,0,0
212,1981-08-01,00:00:00.00,0,0
213,1981-08-02,00:00:00.00,0,0
214,1981-08-03,00:00:00.00,0,0
215,1981-08-04,00:00:00.00,0.979572,0.96998
216,1981-08-05,00:00:00.00,0.989814,0.984977
217,1981-08-06,00:00:00.00,0,0
218,1981-08-07,00:00:00.00,0,0
219,1981-08-08,00:00:00.00,0,0
220,1981-08-09,00:00:00.00,0,0
221,1981-08-10,00:00:00.00,0,0
222,1981-08-11,00:00:00.00,0,0
223,1981-08-12,00:00:00.00,0,0
224,1981-08-13,00:00:00.00,0,0
225,1981-08-14,00:00:00.00,0,0
226,1981-08-15,00:00:00.00,0,0
227,1981-08-16,00:00:00.00,0,0
228,1981-08-17,00:00:00.00,0,0
229,1981-08-18,00:00:00.00,0,0
230,1981-08-19,00:00:00.00,0,0
231,1981-08-20,00:00:00.00,0,0
232,1981-08-21,00:00:00.00,0,0
233,1981-08-22,00:00:00.00,0,0
234,1981-08-23,00:00:00.00,0,0
235,1981-08-24,00:00:00.00,0,0
236,1981-08-25,00:00:00.00,0,0
237,1981-08-26,00:00:00.00,0,0
238,1981-08-27,00:00:00.00,0,0
239,1981-08-28,00:00:00.00,0,0
240,1981-08-29,00:00:00.00,0,0
241,1981-08-30,00:00:00.00,0,0
242,1981-08-31,00:00:00.00,0,0
243,1981-09-01,00:00:00.00,0,0
244,1981-09-02,00:00:00.00,0,0
245,1981-09-03,00:00:00.00,0,0
246,1981-09-04,00:00:00.00,0,0
247,1981-09-05,00:00:00.00,0,0
248,1981-09-06,00:00:00.00,0,0
249,1981-09-07,00:00:00.00,0,0
250,1981-09-08,00:00:00.00,0,0
251,1981-09-09,00:00:00.00,0,0
252,1981-09-10,00:00:00.00,0,0
253,1981-09-11,00:00:00.00,0,0
254,1981-09-12,00:00:00.00,0,0
255,1981-09-13,00:00:00.00,0,0
256,1981-09-14,00:00:00.00,0,0
257,1981-09-15,00:00:00.00,0,0
258,1981-09-16,00:00:00.00,0,0
259,1981-09-17,00:00:00.00,0,0
260,1981-09-18,00:00:00.00,0,0
261,1981-09-19,00:00:00.00,0,0
262,1981-09-20,00:00:00.00,0,0
263,1981-09-21,00:00:00.00,0,0
264,1981-09-22,00:00:00.00,0,0
265,1981-09-23,00:00:00.00,0,0
266,1981-09-24,00:00:00.00,0,0
267,1981-09-25,00:00:00.00,0,0
268,1981-09-26,00:00:00.00,0,0
269,1981-09-27,00:00:00.00,0,0
270,1981-09-28,00:00:00.00,0,0
271,1981-09-29,00:00:00.00,0,0
272,1981-09-30,00:00:00.00,0,0
273,1981-10-01,00:00:00.00,0,0
274,1981-10-02,00:00:00.00,0,0
275,1981-10-03,00:00:00.00,0,0
276,1981-10-04,00:00:00.00,0,0
277,1981-10-05,00:00:00.00,0,0
278,1981-10-06,00:00:00.00,0,0
279,1981-10-07,00:00:00.00,0,0
280,1981-10-08,00:00:00.00,0,0
281,1981-10-09,00:00:00.00,0,0
282,1981-10-10,00:00:00.00,0,0
283,1981-10-11,00:00:00.00,0,0
284,1981-10-12,00:00:00.00,0,0
285,1981-10-13,00:00:00.00,0,0
286,1981-10-14,00:00:00.00,0,0
287,1981-10-15,00:00:00.00,6.87754e-13,7.98472e-13
288,1981-10-16,00:00:00.00,0.999824,0.999708
289,1981-10-17,00:00:00.00,0,0
290,1981-10-18,00:00:00.00,0.999884,0.99977
291,1981-10-19,00:00:00.00,0.999886,0.99977
292,1981-10-20,00:00:00.00,0.999806,0.999608
293,1981-10-21,00:00:00.00,0.999196,0.998247
294,1981-10-22,00:00:00.00,0.988533,0.974682
295,1981-10-23,00:00:00.00,0.655726,0.459843
296,1981-10-24,00:00:00.00,0.959999,0.914518
297,1981-10-25,00:00:00.00,0.952184,0.89867
298,1981-10-26,00:00:00.00,0.956657,0.907486
299,1981-10-27,00:00:00.00,0.985585,0.967543
300,1981-10-28,00:00:00.00,0.959875,0.911391
301,1981-10-29,00:00:00.00,0.879893,0.765407
302,1981-10-30,00:00:00.00,0.636525,0.427921
303,1981-10-31,00:00:00.00,0,0
304,1981-11-01,00:00:00.00,0.233524,0.123681
305,1981-11-02,00:00:00.00,0,0
306,1981-11-03,00:00:00.00,0,0
307,1981-11-04,00:00:00.00,0,0
308,1981-11-05,00:00:00.00,0,0
309,1981-11-06,00:00:00.00,0.909933,0.840122
310,1981-11-07,00:00:00.00,0.844043,0.749573
311,1981-11-08,00:00:00.00,0,0
312,1981-11-09,00:00:00.00,0,0
313,1981-11-10,00:00:00.00,0,0
314,1981-11-11,00:00:00.00,0,0
315,1981-11-12,00:00:00.00,0,0
316,1981-11-13,00:00:00.00,0.853821,0.782807
317,1981-11-14,00:00:00.00,0.289177,0.190824
318,1981-11-15,00:00:00.00,0,0
319,1981-11-16,00:00:00.00,0,0
320,1981-11-17,00:00:00.00,0,0
321,1981-11-18,00:00:00.00,0,0
322,1981-11-19,00:00:00.00,0.0619203,0.0470206
