 model_time, LAI_sub_sim_0116, LAI_sub_obs_0116, LAI_sub_sim_0178, LAI_sub_obs_0178,
       1,      0.27,            ,      0.27,            ,
       2,      0.27,            ,      0.27,            ,
       3,      0.27,            ,      0.27,            ,
       4,      0.27,            ,      0.27,            ,
       5,      0.27,            ,      0.27,            ,
       6,      0.27,            ,      0.27,            ,
       7,      0.27,            ,      0.27,            ,
       8,      0.27,            ,      0.27,            ,
       9,      0.27,            ,      0.27,            ,
      10,      0.27,            ,      0.27,            ,
      11,      0.27,            ,      0.27,            ,
      12,      0.27,            ,      0.27,            ,
      13,      0.27,            ,      0.27,            ,
      14,      0.27,            ,      0.27,            ,
      15,      0.27,            ,      0.27,            ,
      16,      0.27,            ,      0.27,            ,
      17,      0.27,            ,      0.27,            ,
      18,      0.27,            ,      0.27,            ,
      19,      0.27,            ,      0.27,            ,
      20,      0.27,            ,      0.27,            ,
      21,      0.27,            ,      0.27,            ,
      22,      0.27,            ,      0.27,            ,
      23,      0.27,            ,      0.27,            ,
      24,      0.27,            ,      0.27,            ,
      25,      0.27,            ,      0.27,            ,
      26,      0.27,            ,      0.27,            ,
      27,      0.27,            ,      0.27,            ,
      28,      0.27,            ,      0.27,            ,
      29,      0.27,            ,      0.27,            ,
      30,      0.27,            ,      0.27,            ,
      31,      0.27,            ,      0.27,            ,
      32,      0.27,            ,      0.27,            ,
      33,      0.27,            ,      0.27,            ,
      34,      0.27,            ,      0.27,            ,
      35,      0.27,            ,      0.27,            ,
      36,      0.27,            ,      0.27,            ,
      37,      0.27,            ,      0.27,            ,
      38,      0.27,            ,      0.27,            ,
      39,      0.27,            ,      0.27,            ,
      40,      0.27,            ,      0.27,            ,
      41,      0.27,            ,      0.27,            ,
      42,      0.27,            ,      0.27,            ,
      43,      0.27,            ,      0.27,            ,
      44,      0.27,            ,      0.27,            ,
      45,      0.27,            ,      0.27,            ,
      46,      0.27,            ,      0.27,            ,
      47,      0.27,            ,      0.27,            ,
      48,      0.27,            ,      0.27,            ,
      49,      0.27,            ,      0.27,            ,
      50,      0.27,            ,      0.27,            ,
      51,      0.27,            ,      0.27,            ,
      52,      0.27,            ,      0.27,            ,
      53,      0.27,            ,      0.27,            ,
      54,      0.27,            ,      0.27,            ,
      55,      0.27,            ,      0.27,            ,
      56,      0.27,            ,      0.27,            ,
      57,      0.27,            ,      0.27,            ,
      58,      0.27,            ,      0.27,            ,
      59,      0.27,            ,      0.27,            ,
      60,      0.27,            ,      0.27,            ,
      61,      0.27,            ,      0.27,            ,
      62,      0.27,            ,      0.27,            ,
      63,      0.27,            ,      0.27,            ,
      64,      0.27,            ,      0.27,            ,
      65,      0.27,            ,      0.27,            ,
      66,      0.27,            ,      0.27,            ,
      67,      0.27,            ,      0.27,            ,
      68,      0.27,            ,      0.27,            ,
      69,      0.27,            ,      0.27,            ,
      70,      0.27,            ,      0.27,            ,
      71,      0.27,            ,      0.27,            ,
      72,      0.27,            ,      0.27,            ,
      73,      0.27,            ,      0.27,            ,
      74,      0.27,            ,      0.27,            ,
      75,      0.27,            ,      0.27,            ,
      76,      0.27,            ,      0.27,            ,
      77,      0.27,            ,      0.27,            ,
      78,      0.27,            ,      0.27,            ,
      79,      0.27,            ,      0.27,            ,
      80,      0.27,            ,      0.27,            ,
      81,      0.27,            ,      0.27,            ,
      82,      0.27,            ,      0.27,            ,
      83,      0.27,            ,      0.27,            ,
      84,      0.27,            ,      0.27,            ,
      85,      0.27,            ,      0.27,            ,
      86,      0.27,            ,      0.27,            ,
      87,      0.27,            ,      0.27,            ,
      88,      0.27,            ,      0.27,            ,
      89,      0.27,            ,      0.27,            ,
      90,      0.27,            ,      0.27,            ,
      91,      0.27,            ,      0.27,            ,
      92,      0.27,            ,      0.27,            ,
      93,      0.27,            ,      0.27,            ,
      94,      0.27,            ,      0.27,            ,
      95,      0.27,            ,      0.27,            ,
      96,      0.27,            ,      0.27,            ,
      97,      0.27,            ,      0.27,            ,
      98,      0.27,            ,      0.27,            ,
      99,      0.27,            ,      0.27,            ,
     100,      0.27,            ,      0.27,            ,
     101,      0.27,            ,      0.27,            ,
     102,      0.27,            ,      0.27,            ,
     103,      0.27,            ,      0.27,            ,
     104,      0.27,            ,      0.27,            ,
     105,      0.27,            ,      0.27,            ,
     106,      0.27,            ,      0.27,            ,
     107,      0.27,            ,      0.27,            ,
     108,      0.27,            ,      0.27,            ,
     109,      0.27,            ,      0.27,            ,
     110,      0.27,            ,      0.27,            ,
     111,      0.27,            ,      0.27,            ,
     112,      0.27,            ,      0.27,            ,
     113,      0.27,            ,      0.27,            ,
     114,      0.27,            ,      0.27,            ,
     115,      0.27,            ,      0.27,            ,
     116,      0.27,            ,      0.27,            ,
     117,      0.27,            ,      0.27,            ,
     118,      0.27,            ,      0.27,            ,
     119,      0.27,            ,      0.27,            ,
     120,      0.27,            ,      0.27,            ,
     121,      0.27,            ,      0.27,            ,
     122,      0.27,            ,      0.27,            ,
     123,      0.27,            ,      0.27,            ,
     124,      0.27,            ,      0.27,            ,
     125,      0.27,            ,      0.27,            ,
     126,      0.27,            ,      0.27,            ,
